metodo,documento,pergunta,rouge1_mean,rouge1_std,rouge2_mean,rouge2_std,rougeL_mean,rougeL_std,rougeLsum_mean,rougeLsum_std,bleu_mean,bleu_std,bertscore_precision_mean,bertscore_precision_std,bertscore_recall_mean,bertscore_recall_std,bertscore_f1_mean,bertscore_f1_std,f1_token_mean,f1_token_std,exact_match_mean,exact_match_std,latencia_segundos_mean,latencia_segundos_std,n_fontes_mean,n_fontes_std
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Em que ano o Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas foi criado no Campus de Picos?,0.96,0.02108185106778917,0.8315789473684211,0.08876568870648081,0.9200000000000002,0.04216370213557838,0.9200000000000002,0.04216370213557838,0.7738268758725204,0.11920370295980309,0.9896214365959167,0.005469951785156158,0.9927144408226013,0.003839795423680994,0.9911649107933045,0.004656469456248587,0.95,0.026352313834736497,0.2,0.4216370213557839,3.5793,0.009672412085698018,4.0,0.0
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Qual é a carga horária total do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas?,0.391304347826087,0.0,0.22727272727272724,0.0,0.30434782608695654,0.0,0.30434782608695654,0.0,0.11117895489854909,0.0,0.81644606590271,0.0,0.9267646074295044,0.0,0.8681145906448364,0.0,0.43243243243243246,0.0,0.0,0.0,4.41391,0.007877175184600401,4.0,0.0
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Qual é a unidade de oferta do Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas descrita no PPC?,0.41723666210670307,0.0028839741542803156,0.2966463414634147,0.00835561170369692,0.41723666210670307,0.0028839741542803156,0.41723666210670307,0.0028839741542803156,0.12758164470883465,0.021132895920806073,0.833970057964325,0.007479619303875359,0.9407880067825317,0.009743793775075301,0.8840903043746948,0.00021688505973222572,0.43684210526315786,0.03328713326493032,0.0,0.0,4.2475000000000005,0.3655631880324446,4.0,0.0
bm25,CURSO_SUPERIOR_DE_TECNOLOGIA_EM_ANÁLISE_E_DESENVOLVIMENTO_DE_SISTEMAS.pdf,Quantas vagas por ano são ofertadas no Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas?,0.45111111111111113,0.010734353145325524,0.3097142857142857,0.016561573424216484,0.45111111111111113,0.010734353145325524,0.45111111111111113,0.010734353145325524,0.12842329454171356,0.006801764581509049,0.8327477991580963,0.0057865429065076706,0.9561443090438843,0.0012009626762808415,0.8901837170124054,0.0038208130023937785,0.4915555555555556,0.018606212118564218,0.0,0.0,3.4789299999999996,0.08066851306426823,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 217-2024-Atualiza o Regimento Interno da Comissão Permanente de Pessoal Docente (CPPD), no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI)..pdf",Como é composta a CPPD do IFPI em número de membros titulares e suplentes?,0.5625,0.0,0.4000000000000001,0.0,0.5625,0.0,0.5625,0.0,0.39670882908365773,0.0,0.9483709931373596,0.0,0.953549861907959,0.0,0.9509534239768982,0.0,0.6451612903225806,0.0,0.0,0.0,3.46938,0.005854684733897704,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 217-2024-Atualiza o Regimento Interno da Comissão Permanente de Pessoal Docente (CPPD), no âmbito do Instituto Federal de Educação, Ciência e Tecnologia do Piauí (IFPI)..pdf",Qual é o mandato dos integrantes da CPPD do IFPI?,0.5209183673469389,0.02678593924247763,0.2506938020351527,0.06926704720321623,0.488265306122449,0.06894086001752432,0.488265306122449,0.06894086001752432,0.12323705831864093,0.10606557211193078,0.8779784321784974,0.011449989150543741,0.9171380281448365,0.01216500172579182,0.8971310734748841,0.011797492033649682,0.5023255813953489,0.07205550411548685,0.0,0.0,4.559559999999999,0.03227813845658111,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 218-2024-Estab. normas, critérios e proc. para a participação de docentes (DE) em atividades remuneradas.pdf","Qual é o limite anual de horas para a participação esporádica remunerada em palestras, conferências e atividades artísticas e culturais de docentes em dedicação exclusiva?",0.28850174216027874,0.0035985907978698414,0.17205128205128203,0.028468082715712634,0.28850174216027874,0.0035985907978698414,0.28850174216027874,0.0035985907978698414,0.0,0.0,0.8008779287338257,0.0023495688735067264,0.9226816058158874,0.0022907488549402696,0.8574758052825928,0.0023359334636558985,0.36818181818181817,0.005868156585162745,0.0,0.0,4.732609999999999,0.12011406106974622,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 218-2024-Estab. normas, critérios e proc. para a participação de docentes (DE) em atividades remuneradas.pdf",Qual é o limite de carga horária para atividades remuneradas eventuais previstas no artigo 7º da Resolução Normativa nº 218 de 2024?,0.11538461538461539,0.0,0.04,0.0,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,0.0,0.8185205459594727,0.0,0.8523279428482056,0.0,0.8350822329521179,0.0,0.1,0.0,0.0,0.0,4.59332,0.009816516693817414,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 223-2024-Atualiza a Regulamentação do planejamento e o registro das atividades acadêmicas dos docentes da Carreira do Magistério do Ensino Básico, Técnico e Tecnológico do IFPI.pdf","Para cada hora de regência de aulas, quantas horas adicionais o docente computará para atividades de organização e apoio ao ensino?",0.8837209302325583,0.0,0.7804878048780488,0.0,0.8837209302325583,0.0,0.8837209302325583,0.0,0.3414504535105491,0.0,0.9086815118789673,0.0,0.9197208881378174,0.0,0.9141678810119629,0.0,0.8749999999999998,0.0,0.0,0.0,3.6569200000000004,0.009679049540114849,4.0,0.0
bm25,"RESOLUÇÃO NORMATIVA Nº 223-2024-Atualiza a Regulamentação do planejamento e o registro das atividades acadêmicas dos docentes da Carreira do Magistério do Ensino Básico, Técnico e Tecnológico do IFPI.pdf",Quais são os regimes de trabalho previstos para os docentes do EBTT no IFPI?,0.5531914893617021,0.0,0.3555555555555555,0.0,0.5531914893617021,0.0,0.5531914893617021,0.0,0.2171788734284664,0.0,0.9010717272758484,0.0,0.9406071305274963,0.0,0.9204151034355164,0.0,0.6285714285714286,0.0,0.0,0.0,4.28404,0.01194907713777297,4.0,0.0
